Marca temporal,¿Qué edad tienes?,¿Cuál de las siguientes opciones describe mejor tu identidad de género? ,¿A qué te dedicas actualmente?  (Elige la opción que mejor te describa),Con qué género(s) musical(es) te identificas más?,¿A cuántos festivales de música asistes aproximadamente al año?,¿A qué tipo de lugares sueles ir para vivir festivales o conciertos?,¿Viajas a otras ciudades para ir a festivales o conciertos?,¿Generalmente asistes sola(o) o acompañada(o) a los festivales?,¿Qué influye más en tu decisión para asistir a un festival?,¿Generalmente cuál  es tu mayor gasto extra (aparte del boleto)? ,¿Cuál es tu presupuesto por día para gastar en comida y bebidas en el festival? ,¿Cuánto tiempo sueles pasar dentro de un festival?,¿Cómo manejas tu energía durante el evento?,¿Cuánto tiempo tardas en recuperarte después de un festival?,Cómo te enteras normalmente de los festivales?,¿Qué tan fácil te resulta conseguir boletos y planear tu asistencia?,¿Cuál fue el último festival al que asististe?,¿Qué tan seguro/a te sentiste durante el festival?,Qué aspectos te gustaron más?,¿Qué fue lo que menos te gustó?,¿Qué tipo de experiencias te gustaría vivir además de la música?,¿Qué emociones predominan para ti durante un festival?,¿Consideras que los festivales generan comunidad o conexión con otras personas?,¿Crees que los festivales tienen un impacto social o cultural más allá del entretenimiento?
22/10/2025 20:13:43,35 a 44,Mujer,Empleado(a) a tiempo completo,Electrónica,3 a 5 festivales,En zonas rurales o festivales fuera del circuito urbano,"Sí, casi siempre",En pareja,Lugar / ciudad,Transporte a la ciudad del festival 🚌🛬,Más de  $500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,3,Vaiven,1,Convivencia y ambiente,Señal e internet,Arte visual,Alegría,"Sí, totalmente",Sí
22/10/2025 22:08:36,35 a 44,Hombre,Empleado(a) a tiempo completo,Electrónica,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Redes sociales,1,Vaivén ,1,Artistas,Precios,Espacios de bienestar (descanso),Conexión,"Sí, totalmente",Sí
22/10/2025 22:10:14,35 a 44,Mujer,Empleado(a) a tiempo completo,Electrónica,Más de 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Sola(o),Cartel / artistas,Hospedaje en la ciudad del festival 🛏️ 🏨,Entre $200 – 500 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Redes sociales,1,Vaivén ,1,Artistas,Señal e internet,Arte visual,Alegría,"Sí, totalmente",Sí
23/10/2025 5:30:51,25 a 34,Mujer,Empleado(a) a tiempo completo,Electrónica,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Solo un día,Me la paso bailando todo el tiempo 🕺,Una semana para volver a la normalidad,Redes sociales,4,Vaiven,3,Artistas,Precios,Arte visual,Alegría,"Sí, totalmente",Tal vez
3/11/2025 10:03:20,45 o más,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Sola(o),Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,Más de  $500 mxn,Solo un día,Termino agotado/a pero feliz,Una semana para volver a la normalidad,Redes sociales,3,Hipnosis 2025,2,Artistas,Sonido pésimo,Arte visual,Euforia,"Sí, totalmente",Sí
3/11/2025 10:06:42,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,En pareja,Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,3,Hipnosis,2,Artistas,Mal audio ,Arte visual,Conexión,No mucho,No
3/11/2025 10:08:08,35 a 44,Mujer,Comerciante ,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,3,Hipnosis ,1,Artistas,El audio del asco ,Experiencias tecnológicas / instalaciones interactivas,Euforia,Algo,Sí
3/11/2025 10:10:58,19 a  24,Hombre,Estudiante,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Hospedaje en la ciudad del festival 🛏️ 🏨,Entre $200 – 500 mxn,Solo un día,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,1,Hipnosis 2025,1,Artistas,el audio en varios artistas,Espacios de bienestar (descanso),Alegría,No mucho,Tal vez
3/11/2025 10:43:33,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","No, solo asisto a los que hay en mi ciudad",Con amix,Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Entre $200 – 500 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,No me recupero… hasta el siguiente festival,Redes sociales,4,Hipnosis,3,Artistas,"Audio, logistica y producción ",Arte visual,Euforia,"Sí, totalmente",Sí
3/11/2025 11:16:47,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,Más de 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",En pareja,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,Entre $200 – 500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,4,Dia Libre,3,Artistas,Precios,"Espacios de bienestar, talleres charlas y las iniciativas son buenas ideas",Euforia,"Sí, totalmente",Sí
3/11/2025 11:21:20,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Dos o tres días de bajón,Amigos/as,5,hipnosis,1,Artistas,Accesibilidad para todxs,Espacios de bienestar (descanso),Cansancio,"Sí, totalmente",Sí
3/11/2025 11:58:04,35 a 44,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Solo unas horas (voy por artistas específicos),Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,2,Hipnosis 2025,1,Artistas,Audio ,Iniciativas ecológicas o comunitarias,Alegría,"Sí, totalmente",Sí
3/11/2025 12:31:50,35 a 44,Mujer,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,3,Hipnosis ,1,Artistas,Baños,Espacios de bienestar (descanso),Alegría,"Sí, totalmente",Sí
3/11/2025 12:48:24,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Sola(o),Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Solo un día,Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Redes sociales,4,Hipnosis,4,Artistas,"Precios excesivos, mal audio",Charlas o Talleres,Conexión,Algo,Sí
3/11/2025 13:02:57,25 a 34,Mujer,Empleado(a) a tiempo parcial,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Sola(o),Cartel / artistas,Comida dentro del festival 🥫,Más de  $500 mxn,Solo un día,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,1,Hipnosis,2,Artistas,Precios,Arte visual,Alegría,Algo,Sí
6/11/2025 15:15:02,18 o menos,Hombre,Estudiante,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Sola(o),Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Máximo  $200 mxn,Solo unas horas (voy por artistas específicos),Me la paso bailando todo el tiempo 🕺,Una semana para volver a la normalidad,Redes sociales,5,Molchat doma 2023,1,Artistas,Precios,Arte visual,Euforia,"Sí, totalmente",Sí
15/11/2025 0:49:44,35 a 44,Mujer,Freelance / Autónomo(a),Experimental,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",En pareja,Cartel / artistas,Hospedaje en la ciudad del festival 🛏️ 🏨,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Busco zonas tranquilas o de sombra,Una semana para volver a la normalidad,Redes sociales,5,Hipnosis,3,Convivencia y ambiente,Audio ,Arte visual,Alegría,"Sí, totalmente",Sí
